Index,Quantity,Digi-Key Part Number,Description,Customer Reference,Manufacturer Part Number,Manufacturer Name,Unit Price,Extended Price,Datasheet
88,5,493-2278-1-ND,CAP ALUM 220UF 20% 25V SMD,,UUD1E221MNL1GS,Nichicon,0.77,$3.85,https://www.nichicon.co.jp/english/products/pdfs/e-uud.pdf
89,6,4606X-1-102LF-ND,RES ARRAY 5 RES 1K OHM 6SIP,"RN205, RN301, RN607, RN800, RN903, RN908",4606X-101-102LF,Bourns Inc.,0.43,$2.58,https://www.bourns.com/docs/Product-Datasheets/4600x.pdf
90,1,770-61-R10KP-ND,RES ARRAY 5 RES 10K OHM 6SIP,,77061103P,CTS Resistor Products,0.56,$0.56,https://www.ctscorp.com/wp-content/uploads/2015/11/770.pdf
91,2,S9000-ND,CONN JUMPER SHORTING TIN,,STC02SYAN,Sullins Connector Solutions,0.1,$0.20,https://drawings-pdf.s3.amazonaws.com/11134.pdf
92,1,1849-1003-ND,CONN HEADER VERT 3POS 2.54MM,J9004,PR20203VBNN,METZ CONNECT USA Inc.,0.1,$0.10,https://media.metz-connect.com/files/171/Data_sheet_PR202XXVBNN.PDF
93,4,S1011EC-02-ND,CONN HEADER VERT 2POS 2.54MM,2-position header,PRPC002SAAN-RC,Sullins Connector Solutions,0.08,$0.32,//media.digikey.com/PDF/Data%20Sheets/Sullins%20PDFs/xRxCzzzSxxN-RC_ST_11635-B.pdf
94,4,RS1MWF-7DICT-ND,DIODE GEN PURP 1KV 1A SOD123F,,RS1MWF-7,Diodes Incorporated,0.48,$1.92,https://www.diodes.com/assets/Datasheets/RS1MWF.pdf
95,1,L17H2110130-ND,CONN D-SUB PLUG 9POS R/A SLDR,,L17H2110130,Amphenol ICC (Commercial Products),3.5,$3.50,https://www.amphenolcanada.com/ProductSearch/Pdf/DSUB_CAT.pdf#Page=67
96,1,2057-ICM-642-1-GT-HT-ND,"MACHINE PIN SOCKET, IC, DIP, 42P",Kickstart,ICM-642-1-GT-HT,Adam Tech,1.27,$1.27,https://app.adam-tech.com/products/download/data_sheet/203378/icm-6xx-1-gt-ht-data-sheet.pdf
97,3,311-30.0KFRCT-ND,RES 30K OHM 1% 1/4W 1206,,RC1206FR-0730KL,YAGEO,0.1,$0.30,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_11.pdf
98,1,311-6.20KFRCT-ND,RES 6.2K OHM 1% 1/4W 1206,,RC1206FR-076K2L,YAGEO,0.1,$0.10,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_11.pdf
99,1,CY62167ELL-45ZXI-ND,IC SRAM 16MBIT PARALLEL 48TSOP I,,CY62167ELL-45ZXI,Cypress Semiconductor Corp,16.61,$16.61,https://www.cypress.com/file/43821/download
100,1,296-SN74HC258DRCT-ND,IC MULTIPLEXER 4 X 2:1 16SOIC,,SN74HC258DR,Texas Instruments,0.6,$0.60,https://www.ti.com/lit/ds/scls224b/scls224b.pdf
101,1,339-C1206C220K5GAC7800CT-ND,CAP CER 22PF 50V C0G/NP0 1206,,C1206C220K5GAC7800,KEMET,0.2,$0.20,https://api.kemet.com/component-edge/download/datasheet/C1206C220K2GACTU.pdf
102,2,4606X-1-471LF-ND,RES ARRAY 5 RES 470 OHM 6SIP,,4606X-101-471LF,Bourns Inc.,0.5,$1.00,https://www.bourns.com/docs/Product-Datasheets/4600x.pdf
103,1,296-20799-1-ND,IC REG LIN -5V 1.5A DDPAK/TO263,-5V Regulator,UA7905CKTTR,Texas Instruments,1.49,$1.49,https://www.ti.com/lit/ds/slvs058h/slvs058h.pdf
104,1,WM4201-ND,CONN HEADER VERT 3POS 2.54MM,Fan header,22232031,Molex,0.28,$0.28,https://www.molex.com/pdm_docs/sd/022232031_sd.pdf
105,1,2057-BHR-20-VUA-ND,CONN HEADER VERT 20POS 2.54MM,External floppy header,BHR-20-VUA,Adam Tech,0.46,$0.46,https://app.adam-tech.com/products/download/data_sheet/203218/bhr-xx-vua-data-sheet.pdf
106,2,1727-2845-1-ND,IC GATE OR 4CH 2-INP 14SO,,"74HCT32D,653",Nexperia USA Inc.,0.4,$0.80,https://assets.nexperia.com/documents/data-sheet/74HC_HCT32.pdf
107,47,13-AC0805FR-7W1KLCT-ND,RES 1 KOHM 1% 1/4W 0805,Zorro termination,AC0805FR-7W1KL,YAGEO,0.084,$3.95,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AC_51_RoHS_L_7.pdf
108,47,339-C0805C102K5RAC7800CT-ND,CAP CER 1000PF 50V X7R 0805,Zorro termination,C0805C102K5RAC7800,KEMET,0.091,$4.28,https://api.kemet.com/component-edge/download/datasheet/C0805C102K5RACTU.pdf
109,1,887-1207-1-ND,XTAL OSC XO 28.63636MHZ CMOS SMD,Optional NTSC Oscillator,7C-28.63636MBB-T,TXC CORPORATION,1.94,$1.94,http://www.txccorp.com/download/products/oscillators/2015TXC_7C_57.pdf
110,1,1473-SIT8208AI-33-33E-28.375000-ND,MEMS OSC XO 28.3750MHZ LVCMOS LV,Optional PAL Oscillator,SIT8208AI-33-33E-28.375000,SiTime,1.43,$1.43,https://www.sitime.com/datasheet/SiT8208
111,1,C1206C200K5GAC7800CT-ND,CAP CER 20PF 50V C0G/NP0 1206,Optional RTC Capacitor,C1206C200K5GAC7800,KEMET,0.19,$0.19,https://api.kemet.com/component-edge/download/datasheet/C1206C200K5GACTU.pdf
112,1,3M5464-ND,CONN IC DIP SOCKET 18POS TIN,Optional RTC Socket,4818-3000-CP,3M,0.67,$0.67,https://multimedia.3m.com/mws/media/218496O/3mtm-dip-socket-4800-series-ts1099.pdf
113,1,SER4076CT-ND,CRYSTAL 32.7680KHZ 12.5PF SMD,Optional RTC Crystal,FC-135R 32.7680KF-A3,EPSON,0.86,$0.86,https://support.epson.biz/td/api/doc_check.php?dl=brief_FC-135R&lang=en
114,1,2447-GKG60015-ND,CAP TRIMMER 12-60PF 100V TH,Optional RTC Trimmer Cap,GKG60015,EW Electronics,0.92,$0.92,//media.digikey.com/pdf/Data%20Sheets/EW%20Electronics-Edmar/GKGxx015_016_Series_DS.pdf
